Model,Avg Val Loss,Total Time (s),Time per Fold (s)
resnet18,33.93795577685038,799.3371067047119,266.445702234904
simple_cnn,35.241119384765625,559.1230487823486,186.3743495941162
vit,34.16774400075277,3731.0093574523926,1243.6697858174641
