Model,Avg Val Loss,Total Time (s),Time per Fold (s)
resnet18,28.978128783094387,177.35323667526245,59.117745558420815
simple_cnn,35.10847028096517,180.78461527824402,60.26153842608134
vit,35.22904896736145,233.4131214618683,77.80437382062276
